dataset_label,Name,Formula,adsorbate,surface_ref_name,surface_ref_formula,surface_ref_status,E,surface_ref_E,delta_E_to_surface_eV,delta_C,delta_H,delta_O,n_CO_adsorbates,E_ads_CO_eV,n_CH3O_adsorbates,E_ads_CH3OH_to_CH3O_eV,fmax,source_hdf,source_row
CaO-slabs,CaO-100-Ni-2x2x4-1-CH3O-1,CH3Ca31NiO33,CH3O,CaO-100-Ni-2x2x4-1,Ca31NiO32,ok,-313.01589478,-289.58852741,-23.427367370000013,1.0,3.0,1.0,,,1.0,,0.0095,/data/Chapter6/CaO-slabs.hdf,1
CaO-slabs,CaO-100-Ni-2x2x4-1-CO-1,CCa31NiO33,CO,CaO-100-Ni-2x2x4-1,Ca31NiO32,ok,-302.42210686,-289.58852741,-12.833579450000002,1.0,0.0,1.0,1.0,,,,0.0089,/data/Chapter6/CaO-slabs.hdf,2
CaO-slabs,CaO-100-Ni-2x2x4-1-CO-2,CCa31NiO33,CO,CaO-100-Ni-2x2x4-1,Ca31NiO32,ok,-302.42239723,-289.58852741,-12.833869820000018,1.0,0.0,1.0,1.0,,,,0.01,/data/Chapter6/CaO-slabs.hdf,3
CaO-slabs,CaO-100-clean-2x2x4-CH3O-1,CH3Ca32O33,CH3O,CaO-100-clean-2x2x4,Ca32O32,ok,-315.36198919,-292.51203182,-22.84995736999997,1.0,3.0,1.0,,,1.0,,0.0073,/data/Chapter6/CaO-slabs.hdf,6
CaO-slabs,CaO-100-clean-2x2x4-COOH-1,CHCa32O34,COOH,CaO-100-clean-2x2x4,Ca32O32,ok,-313.72313065,-292.51203182,-21.21109882999997,1.0,1.0,2.0,,,,,0.0075,/data/Chapter6/CaO-slabs.hdf,7
CaO-slabs,CaO-100-clean-2x2x4-CO-1,CCa32O33,CO,CaO-100-clean-2x2x4,Ca32O32,ok,-304.80804572,-292.51203182,-12.296013899999991,1.0,0.0,1.0,1.0,,,,0.0094,/data/Chapter6/CaO-slabs.hdf,8
CaO-slabs,CaO-100-clean-2x2x4-CO-3,C8Ca32O40,CO,CaO-100-clean-2x2x4,Ca32O32,ok,-391.32728139,-292.51203182,-98.81524956999999,8.0,0.0,8.0,8.0,,,,0.0074,/data/Chapter6/CaO-slabs.hdf,9
CaO-slabs,CaO-100-clean-2x2x4-CO-2,CCa32O33,CO,CaO-100-clean-2x2x4,Ca32O32,ok,-304.83152684,-292.51203182,-12.319495019999977,1.0,0.0,1.0,1.0,,,,0.0055,/data/Chapter6/CaO-slabs.hdf,10
CaO-slabs,CaO-100-clean-2x2x4-HCOO-1,CHCa32O34,HCOO,CaO-100-clean-2x2x4,Ca32O32,ok,-314.48856822,-292.51203182,-21.976536399999986,1.0,1.0,2.0,,,,,0.0075,/data/Chapter6/CaO-slabs.hdf,11
CaO-slabs,CaO-100-clean-2x2x4-CO2-1,CCa32O34,CO2,CaO-100-clean-2x2x4,Ca32O32,ok,-312.27695622,-292.51203182,-19.764924399999984,1.0,0.0,2.0,,,,,0.0056,/data/Chapter6/CaO-slabs.hdf,12
Ga2O3-slabs,Ga2O3-001-5-2x1x4-CH3O-1,CH3Ga16O25,CH3O,Ga2O3-001-5-2x1x4,Ga16O24,ok,-195.11424318,-171.71908232,-23.395160859999976,1.0,3.0,1.0,,,1.0,,0.0087,/data/Chapter6/Ga2O3-slabs.hdf,9
Ga2O3-slabs,Ga2O3-001-5-2x1x4-HCO-1,CHGa16O25,HCO,Ga2O3-001-5-2x1x4,Ga16O24,ok,-186.70148204,-171.71908232,-14.98239971999999,1.0,1.0,1.0,,,,,0.0072,/data/Chapter6/Ga2O3-slabs.hdf,10
Ga2O3-slabs,Ga2O3-001-5-2x1x4-CO-top-1,CGa16O25,CO,Ga2O3-001-5-2x1x4,Ga16O24,ok,-184.0373439,-171.71908232,-12.318261579999984,1.0,0.0,1.0,1.0,,,,0.0057,/data/Chapter6/Ga2O3-slabs.hdf,11
Ga2O3-slabs,Ga2O3-001-5-2x1x4-CO-top-2,CGa16O25,CO,Ga2O3-001-5-2x1x4,Ga16O24,ok,-183.96372403,-171.71908232,-12.244641709999996,1.0,0.0,1.0,1.0,,,,0.0073,/data/Chapter6/Ga2O3-slabs.hdf,12
Ga2O3-slabs,Ga2O3-111-0-2x2x4-CO-1,0,CO,,,missing,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,/data/Chapter6/Ga2O3-slabs.hdf,17
Ga2O3-slabs,Ga2O3-111-0-CO-1,0,CO,Ga2O3-111-0,Ga16O24,ok,0.0,-163.73423327,163.73423327,0.0,0.0,-24.0,0.0,,,,0.0,/data/Chapter6/Ga2O3-slabs.hdf,18
Ga2O3-slabs,Ga2O3-110-0-CH3O-1,0,CH3O,Ga2O3-110-0,Ga12O18,ok,0.0,-125.54940462,125.54940462,0.0,0.0,-18.0,,,0.0,,0.0,/data/Chapter6/Ga2O3-slabs.hdf,42
Ga2O3-slabs,Ga2O3-110-0-Ni-CO-1,CGa11NiO19,CO,Ga2O3-110-0-Ni,Ga11NiO18,ok,-134.13793492,-121.69536435,-12.442570569999987,1.0,0.0,1.0,1.0,,,,0.0083,/data/Chapter6/Ga2O3-slabs.hdf,44
Ga2O3-slabs,Ga2O3-110-0-CO-1,CGa12O19,CO,Ga2O3-110-0,Ga12O18,ok,-138.0050562,-125.54940462,-12.455651580000008,1.0,0.0,1.0,1.0,,,,0.0084,/data/Chapter6/Ga2O3-slabs.hdf,45
Ga2O3-slabs,Ga2O3-100-3-2x2x4-CH3O-1,CH3Ga32O49,CH3O,Ga2O3-100-3-2x2x4,Ga32O48,ok,-375.99452275,-353.75991575,-22.234606999999983,1.0,3.0,1.0,,,1.0,,0.0076,/data/Chapter6/Ga2O3-slabs.hdf,52
Ga2O3-slabs,Ga2O3-100-3-2x2x4-CH3O-2,CH3Ga32O49,CH3O,Ga2O3-100-3-2x2x4,Ga32O48,ok,-375.44008728,-353.75991575,-21.680171529999996,1.0,3.0,1.0,,,1.0,,0.008,/data/Chapter6/Ga2O3-slabs.hdf,53
Ga2O3-slabs,Ga2O3-100-3-2x2x4-Ni-1-CO-1,CGa31NiO49,CO,Ga2O3-100-3-2x2x4-Ni-1,Ga31NiO48,ok,-356.49022354,-351.47083507,-5.019388469999967,1.0,0.0,1.0,1.0,,,,0.0073,/data/Chapter6/Ga2O3-slabs.hdf,55
Ga2O3-slabs,Ga2O3-100-3-2x2x4-CO-1,CGa32O49,CO,Ga2O3-100-3-2x2x4,Ga32O48,ok,-366.02670083,-353.75991575,-12.266785079999977,1.0,0.0,1.0,1.0,,,,0.0071,/data/Chapter6/Ga2O3-slabs.hdf,56
Ga2O3-slabs,Ga2O3-100-3-2x2x4-CO-3,C2Ga32O50,CO,Ga2O3-100-3-2x2x4,Ga32O48,ok,-378.2746931,-353.75991575,-24.514777349999974,2.0,0.0,2.0,2.0,,,,0.0098,/data/Chapter6/Ga2O3-slabs.hdf,57
Ga2O3-slabs,Ga2O3-100-3-2x2x4-CO-2,CGa32O49,CO,Ga2O3-100-3-2x2x4,Ga32O48,ok,-366.01427551,-353.75991575,-12.25435976,1.0,0.0,1.0,1.0,,,,0.0095,/data/Chapter6/Ga2O3-slabs.hdf,58
Ga2O3-slabs,Ga2O3-100-3-2x2x4-CO2-1,CGa32O50,CO2,Ga2O3-100-3-2x2x4,Ga32O48,ok,-372.29959357,-353.75991575,-18.53967782000001,1.0,0.0,2.0,,,,,0.0091,/data/Chapter6/Ga2O3-slabs.hdf,59
Ga2O3-slabs,Ga2O3-010-0-CO-1,CGa24O37,CO,Ga2O3-010-0,Ga24O36,ok,-266.04785031,-253.3783047,-12.66954561,1.0,0.0,1.0,1.0,,,,0.0082,/data/Chapter6/Ga2O3-slabs.hdf,73
Ni-slabs,Ni-211-clean-4x3x4_431-Ox4_CO-1,CNi48O5,CO,,,missing,-137.81117916,,,1.0,0.0,5.0,1.0,,,,0.009,/data/Chapter6/Ni-slabs.hdf,53
Ni-slabs,Ni-211-clean-4x3x4_431-Ox4_CO-4,CNi48O5,CO,,,missing,-137.97112888,,,1.0,0.0,5.0,1.0,,,,0.0075,/data/Chapter6/Ni-slabs.hdf,54
Ni-slabs,Ni-211-clean-4x3x4_431-Ox4_CO-3,CNi48O5,CO,,,missing,-138.11484557,,,1.0,0.0,5.0,1.0,,,,0.0083,/data/Chapter6/Ni-slabs.hdf,55
Ni-slabs,Ni-211-clean-4x3x4_431-Ox4_CO-2,CNi48O5,CO,,,missing,-138.62608119,,,1.0,0.0,5.0,1.0,,,,0.0086,/data/Chapter6/Ni-slabs.hdf,56
Ni-slabs,Ni-211-clean-4x3x4_431-CO-1-top,CNi48O,CO,Ni-211-clean-4x3x4_431,Ni48,ok,-118.01946451,-104.43467402,-13.584790490000003,1.0,0.0,1.0,1.0,,,,0.0085,/data/Chapter6/Ni-slabs.hdf,57
Ni-slabs,Ni-211-clean-4x3x4_431-CO-1-bridge,CNi48O,CO,Ni-211-clean-4x3x4_431,Ni48,ok,-118.14890208,-104.43467402,-13.714228059999996,1.0,0.0,1.0,1.0,,,,0.0082,/data/Chapter6/Ni-slabs.hdf,58
Ni-slabs,Ni-211-clean-4x3x4_431-CO-1-fcc,CNi48O,CO,Ni-211-clean-4x3x4_431,Ni48,ok,-118.05677884,-104.43467402,-13.622104820000004,1.0,0.0,1.0,1.0,,,,0.0089,/data/Chapter6/Ni-slabs.hdf,59
Ni-slabs,Ni-211-clean-4x3x4_431-CO-1-hcp,CNi48O,CO,Ni-211-clean-4x3x4_431,Ni48,ok,-118.16223581,-104.43467402,-13.727561789999996,1.0,0.0,1.0,1.0,,,,0.0063,/data/Chapter6/Ni-slabs.hdf,60
Ni-slabs,Ni-211-clean-4x3x4_431-CO-4-bridge,C4Ni48O4,CO,Ni-211-clean-4x3x4_431,Ni48,ok,-159.31650252,-104.43467402,-54.8818285,4.0,0.0,4.0,4.0,,,,0.0078,/data/Chapter6/Ni-slabs.hdf,61
Ni-slabs,Ni-211-clean-4x3x4_431-CO-4-top_fcc,C4Ni48O4,CO,Ni-211-clean-4x3x4_431,Ni48,ok,-158.80862608,-104.43467402,-54.37395206000001,4.0,0.0,4.0,4.0,,,,0.0081,/data/Chapter6/Ni-slabs.hdf,62
Ni-slabs,Ni-211-clean-4x3x4_431-CO-3-a,C3Ni48O3,CO,Ni-211-clean-4x3x4_431,Ni48,ok,-145.40098831,-104.43467402,-40.96631429,3.0,0.0,3.0,3.0,,,,0.0077,/data/Chapter6/Ni-slabs.hdf,63
Ni-slabs,Ni-211-clean-4x3x4_431-CO-3-fcc,C3Ni48O3,CO,Ni-211-clean-4x3x4_431,Ni48,ok,-145.23146572,-104.43467402,-40.796791699999986,3.0,0.0,3.0,3.0,,,,0.0072,/data/Chapter6/Ni-slabs.hdf,64
Ni-slabs,Ni-211-clean-4x3x4_431-CO-3-b,C3Ni48O3,CO,Ni-211-clean-4x3x4_431,Ni48,ok,-145.60121252,-104.43467402,-41.16653849999999,3.0,0.0,3.0,3.0,,,,0.0086,/data/Chapter6/Ni-slabs.hdf,65
Ni-slabs,Ni-211-clean-4x3x4_431-CO-2-top,C2Ni48O2,CO,Ni-211-clean-4x3x4_431,Ni48,ok,-131.58583974,-104.43467402,-27.15116572000001,2.0,0.0,2.0,2.0,,,,0.0075,/data/Chapter6/Ni-slabs.hdf,66
Ni-slabs,Ni-211-clean-4x3x4_431-CO-2-bridge,C2Ni48O2,CO,Ni-211-clean-4x3x4_431,Ni48,ok,-131.81624151,-104.43467402,-27.381567489999995,2.0,0.0,2.0,2.0,,,,0.0048,/data/Chapter6/Ni-slabs.hdf,67
Ni-slabs,Ni-211-clean-4x3x4_431-CO-2-fcc,C2Ni48O2,CO,Ni-211-clean-4x3x4_431,Ni48,ok,-131.64930588,-104.43467402,-27.214631859999983,2.0,0.0,2.0,2.0,,,,0.0074,/data/Chapter6/Ni-slabs.hdf,68
Ni-slabs,Ni-211-clean-4x3x4_431-CO-2-hcp,C2Ni48O2,CO,Ni-211-clean-4x3x4_431,Ni48,ok,-131.85623942,-104.43467402,-27.421565400000006,2.0,0.0,2.0,2.0,,,,0.0069,/data/Chapter6/Ni-slabs.hdf,69
Ni-slabs,Ni-211-clean-4x3x4_431-Ox4-3-CO-1,CNi48O5,CO,Ni-211-clean-4x3x4_431-Ox4-3,Ni48O4,ok,-139.34359229,-126.16002149,-13.183570799999998,1.0,0.0,1.0,1.0,,,,0.0097,/data/Chapter6/Ni-slabs.hdf,73
Ni-slabs,Ni-211-clean-4x3x4_431-Ox4-3-CO-2,0,CO,Ni-211-clean-4x3x4_431-Ox4-3,Ni48O4,ok,0.0,-126.16002149,126.16002149,0.0,0.0,-4.0,0.0,,,,0.0,/data/Chapter6/Ni-slabs.hdf,74
Ni-slabs,Ni-211-clean-4x3x4_431-O_CO-1,CNi48O2,CO,,,missing,-123.60583648,,,1.0,0.0,2.0,1.0,,,,0.0088,/data/Chapter6/Ni-slabs.hdf,76
Ni-slabs,Ni-211-clean-2x3x4-O_CO-1,CNi24O2,CO,,,missing,-71.4391752,,,1.0,0.0,2.0,1.0,,,,0.009,/data/Chapter6/Ni-slabs.hdf,96
Ni-slabs,Ni-211-clean-2x3x4-HCOO-AA,CHNi24O2,HCOO,Ni-211-clean-2x3x4,Ni24,ok,-75.28127104,-52.27223204,-23.009038999999994,1.0,1.0,2.0,,,,,0.0088,/data/Chapter6/Ni-slabs.hdf,97
Ni-slabs,Ni-211-clean-3x3x4-CH3O-A-1,CH3Ni36O,CH3O,Ni-211-clean-3x3x4,Ni36,ok,-103.25265998,-78.40925744,-24.84340254,1.0,3.0,1.0,,,1.0,,0.0069,/data/Chapter6/Ni-slabs.hdf,100
Ni-slabs,Ni-211-clean-3x3x4-CH3O-AA-1,CH3Ni36O,CH3O,Ni-211-clean-3x3x4,Ni36,ok,-103.25485783,-78.40925744,-24.84560039,1.0,3.0,1.0,,,1.0,,0.0072,/data/Chapter6/Ni-slabs.hdf,101
Ni-slabs,Ni-211-clean-3x3x4-COOH-AA,CHNi36O2,COOH,Ni-211-clean-3x3x4,Ni36,ok,-100.82709513,-78.40925744,-22.41783769,1.0,1.0,2.0,,,,,0.0089,/data/Chapter6/Ni-slabs.hdf,103
Ni-slabs,Ni-211-clean-3x3x4-HCO-AA-1,CHNi36O,HCO,Ni-211-clean-3x3x4,Ni36,ok,-95.05315634,-78.40925744,-16.643898899999996,1.0,1.0,1.0,,,,,0.009,/data/Chapter6/Ni-slabs.hdf,105
Ni-slabs,Ni-211-clean-3x3x4-HCO-AA-4,CHNi36O,HCO,Ni-211-clean-3x3x4,Ni36,ok,-94.6847628,-78.40925744,-16.275505359999997,1.0,1.0,1.0,,,,,0.0081,/data/Chapter6/Ni-slabs.hdf,106
Ni-slabs,Ni-211-clean-3x3x4-HCO-AA-3,CHNi36O,HCO,Ni-211-clean-3x3x4,Ni36,ok,-94.86431993,-78.40925744,-16.45506248999999,1.0,1.0,1.0,,,,,0.0093,/data/Chapter6/Ni-slabs.hdf,107
Ni-slabs,Ni-211-clean-3x3x4-HCO-AA-2,CHNi36O,HCO,Ni-211-clean-3x3x4,Ni36,ok,-95.01100273,-78.40925744,-16.601745289999997,1.0,1.0,1.0,,,,,0.0076,/data/Chapter6/Ni-slabs.hdf,108
Ni-slabs,Ni-211-clean-3x3x4-copt-HCO%HC_O-1-03,CHNi36O,HCO,,,missing,-94.09880767,,,1.0,1.0,1.0,,,,,0.0085,/data/Chapter6/Ni-slabs.hdf,112
Ni-slabs,Ni-211-clean-3x3x4-copt-HCO%HC_O-1-04,CHNi36O,HCO,,,missing,-94.17771008,,,1.0,1.0,1.0,,,,,0.0057,/data/Chapter6/Ni-slabs.hdf,113
Ni-slabs,Ni-211-clean-3x3x4-copt-HCO%HC_O-1-05,CHNi36O,HCO,,,missing,-94.6118002,,,1.0,1.0,1.0,,,,,0.0064,/data/Chapter6/Ni-slabs.hdf,114
Ni-slabs,Ni-211-clean-3x3x4-copt-HCO%HC_O-1-02,CHNi36O,HCO,,,missing,-93.85460928,,,1.0,1.0,1.0,,,,,0.0089,/data/Chapter6/Ni-slabs.hdf,115
Ni-slabs,Ni-211-clean-3x3x4-copt-HCO%HC_O-1-00,CHNi36O,HCO,,,missing,-95.01100273,,,1.0,1.0,1.0,,,,,0.0076,/data/Chapter6/Ni-slabs.hdf,116
Ni-slabs,Ni-211-clean-3x3x4-copt-HCO%HC_O-1-01,CHNi36O,HCO,,,missing,-94.92941644,,,1.0,1.0,1.0,,,,,0.0078,/data/Chapter6/Ni-slabs.hdf,117
Ni-slabs,Ni-211-clean-3x3x4-copt-HCO%HC_O-1-06,CHNi36O,HCO,,,missing,-95.00551015,,,1.0,1.0,1.0,,,,,0.0083,/data/Chapter6/Ni-slabs.hdf,118
