dataset_label,Name,Formula,E,surface_key,surface_ref_status,source_hdf,source_row
CaO-slabs,CaO-100-Ni-2x2x4-1,Ca31NiO32,-289.58852741,CaO-100-Ni-2x2x4-1,self,/data/Chapter6/CaO-slabs.hdf,0
CaO-slabs,CaO-100-Ni-2x2x4-4,0,0.0,CaO-100-Ni-2x2x4-4,missing,/data/Chapter6/CaO-slabs.hdf,4
CaO-slabs,CaO-100-clean-2x2x4,Ca32O32,-292.51203182,CaO-100-clean-2x2x4,self,/data/Chapter6/CaO-slabs.hdf,5
CaO-slabs,CaO-100-clean-4x4x4,Ca128O128,-1169.94145487,CaO-100-clean-4x4x4,self,/data/Chapter6/CaO-slabs.hdf,13
CaO-slabs,CaO-100-clean-4x4x4-Ni4O4-1,0,0.0,CaO-100-clean-4x4x4-Ni4O4-1,missing,/data/Chapter6/CaO-slabs.hdf,14
Ga2O3-slabs,Ga2O3-211-0,0,0.0,Ga2O3-211-0,missing,/data/Chapter6/Ga2O3-slabs.hdf,0
Ga2O3-slabs,Ga2O3-211-1,Ga32O48,-331.90450659,Ga2O3-211-1,self,/data/Chapter6/Ga2O3-slabs.hdf,1
Ga2O3-slabs,Ga2O3-001-0,Ga8O12,-84.6401771,Ga2O3-001-0,self,/data/Chapter6/Ga2O3-slabs.hdf,2
Ga2O3-slabs,Ga2O3-001-1,Ga8O12,-81.16332615,Ga2O3-001-1,self,/data/Chapter6/Ga2O3-slabs.hdf,3
Ga2O3-slabs,Ga2O3-001-4,Ga8O12,-81.6924397,Ga2O3-001-4,self,/data/Chapter6/Ga2O3-slabs.hdf,4
Ga2O3-slabs,Ga2O3-001-3,Ga8O12,-82.48934418,Ga2O3-001-3,self,/data/Chapter6/Ga2O3-slabs.hdf,5
Ga2O3-slabs,Ga2O3-001-2,Ga8O12,-81.27045686,Ga2O3-001-2,self,/data/Chapter6/Ga2O3-slabs.hdf,6
Ga2O3-slabs,Ga2O3-001-5-2x2x4,Ga32O48,-343.44016691,Ga2O3-001-5-2x2x4,self,/data/Chapter6/Ga2O3-slabs.hdf,7
